text,topic,blog_name,pet,word_count,chunk_size
"abnormally large kidneys in ferrets petmd.com /ferret/conditions/urinary/c_ft_renomegaly renomegaly in ferrets this is a condition where one or both kidneys become abnormally large, confirmed by abdominal palpation, ultrasounds, or x-rays. it can occur due to the presence of cysts, swelling due to kidney infection, inflammation, or urinary tract obstruction, among other other things. renomegaly can affect all the ferret's body systems: respiratory, nervous, hormonal, urinary and digestive. typically, it is seen in middle- aged to older ferrets.",Abnormally Large Kidneys in Ferrets Renomegaly in Ferrets,Abnormally Large Kidneys in Ferrets,Ferrets,76,99
"symptoms and types there are occasions when the ferret is asymptomatic, or does not display any signs whatsoever. however, some of the more common symptoms seen in ferrets with renomegaly include: lethargy vomiting diarrhea dehydration weight loss loss of appetite (anorexia) pale mucous membrane abdominal pain and distension",Symptoms and Types,Abnormally Large Kidneys in Ferrets,Ferrets,48,53
"causes the kidneys may become abnormally large as a result of inflammation, infection, or cancer. renomegaly can also occur due to urinary tract obstruction, formation of cysts in the urinary tract, inflammatory conditions, and blood clots in the kidneys.",Causes,Abnormally Large Kidneys in Ferrets,Ferrets,39,46
"diagnosis in addition to a complete blood profile and a urinalysis, a palpation exam and x-rays may be used to assist your veterinarian in visualizing the abnormality in the kidney size, and thus diagnose your ferret's condition. aspiration of renal fluid and a biopsy is another procedure often used in ferrets suspected of having renomegaly.",Diagnosis,Abnormally Large Kidneys in Ferrets,Ferrets,55,61
"treatment your ferret will be treated on an outpatient basis unless it is suffering from dehydration or renal failure. treatment will begin with diagnosing and treating the underlying cause, maintaining fluid balance with intravenous fluids if necessary, and /24, replenishing minerals and electrolytes. if your ferret is otherwise healthy, a normal diet and normal exercise will be advised. drugs prescribed by your veterinarian will vary according to the underlying cause of renomegaly. however, drugs that may have a toxic effect on the kidneys should be avoided.",Treatment,Abnormally Large Kidneys in Ferrets,Ferrets,86,96
"living and management your veterinarian will want to see your ferret during regular follow-up examinations, where he or she will assess the animal's physical recovery and hydration status. if your ferret's symptoms return, you will need to contact the veterinarian immediately. possible complications of renomegaly include kidney failure and hormone imbalances that mimic hormone-producing cancers. /24, ",Living and Management,Abnormally Large Kidneys in Ferrets,Ferrets,56,66
"accumulation of fluid in the abdomen of ferrets petmd.com /ferret/conditions/digestive/c_ft_ascites ascites ascites, also known as abdominal effusion, is the medical term referring to the buildup of fluid in the abdomen. in ferrets, this may cause symptoms such as weight gain, abdominal discomfort, and loss of appetite. a wide variety of causes may be responsible for ascites, thus treatments vary accordingly.",Accumulation of Fluid in the Abdomen of Ferrets Ascites,Accumulation of Fluid in the Abdomen of Ferrets,Ferrets,60,73
"symptoms the body systems usually affected by this disorder typically include the cardiovascular, gastrointestinal, renal (including the kidneys and bladder), lymph and immune systems. the signs and symptoms may include the following: weight gain lethargy and fatigue an unsteady gait or incoordination inability to eat or loss of appetite abdominal distension or a bloated appearance abdominal discomfort or pain during palpation",Symptoms,Accumulation of Fluid in the Abdomen of Ferrets,Ferrets,61,67
"causes the causes for ascites are varied but may include the following: chronic heart failure or cardiomyopathy gastrointestinal and kidney diseases an inflammation of the inner wall of the abdomen (or peritonitis) imbalances of electrolytes, such as potassium and salt, in the body obstruction of certain heart valves and veins, including the vena cava, which returns blood from the lower portion of the body to the heart",Causes,Accumulation of Fluid in the Abdomen of Ferrets,Ferrets,67,73
"diagnosis to diagnose ascites, your veterinarian will conduct an ascetic fluid evaluation on the ferret. this involves the removal of abdominal fluid to analyze for characteristics such as bacterial presence, protein makeup, and bleeding. the veterinarian may also /24, analyze the urine or run x-rays and ultrasounds to determine the cause of abdominal fluid buildup.",Diagnosis,Accumulation of Fluid in the Abdomen of Ferrets,Ferrets,55,63
"treatment treatment is largely dependent on the underlying cause of the case of ascites. if symptoms are severe and the ferret is having great discomfort, the abdomen may be tapped to remove fluid and make the animal more comfortable. corrective surgery may be necessary in some cases; e.g., if a tumor is present or to control abdominal bleeding. medications are determined according to the underlying cause. for instance, fluid buildup due to bacterial infection (known as septic ascites) requires antibiotic therapy. it is important to note that aggressive medication treatment with diuretics, which are used to remove excess body fluid, may cause low levels of potassium in the blood, a condition known as hypokalemia. this can worsen symptoms and lead to further complications.",Treatment,Accumulation of Fluid in the Abdomen of Ferrets,Ferrets,123,140
"living and management follow-up care will include nutritional support and proper care for any wounds associated with surgery, as well as any care involved with addressing the underlying cause for ascites. your veterinarian may follow up by checking electrolytes and liver panels to help maintain the ferret's health. diuretic or fluid balance medications may be necessary over the long term to control edema or fluid retention in the ferret.",Living and Management,Accumulation of Fluid in the Abdomen of Ferrets,Ferrets,69,75
"prevention because there are many different causes of ascites, there is no surefire prevention method that can be recommended. to avoid abdominal fluid buildup due to trauma, however, keep the ferret in a confined location or on a leash to prevent access to roads and other dangerous areas where traumatic incidents may occur. /24, ",Prevention,Accumulation of Fluid in the Abdomen of Ferrets,Ferrets,54,60
"aleutian disease in ferrets petmd.com /ferret/conditions/endocrine/c_ft_aleutian_disease aleutian disease is a parvovirus that ferrets contract from other ferrets and mink. as the virus spreads through a ferret’s body, the ferret’s antibodies -- the protective immune system -- attack the virus, forming complexes which collect in the kidneys, liver, spleen, and other organs causing them to fail. the disease is incurable and if you have a multi-ferret household, you should consider testing your other ferrets for aleutian disease and having them euthanized should they be positive. ferrets which contract this disease may appear healthy and act as carriers (persistent nonprogressive form), lose weight over time (progressive form) or become very ill and die (another progressive form). it is also possible for a ferret to have caught the disease and to have fully recovered, not being a carrier (nonprogressive form). however, the vast majority of infected ferrets will become very ill and die (progressive form). fortunately, this disease is not terribly common.",Aleutian Disease in Ferrets,Aleutian Disease in Ferrets,Ferrets,159,190
"symptoms and types paleness lethargy muscle wasting weight loss enlarged abdomen black-colored feces weakness in the rear legs neurological signs (e.g., stumbling, circling, difficulty walking, stupor, coma)",Symptoms and Types,Aleutian Disease in Ferrets,Ferrets,27,36
"causes as stated earlier, aleutian disease is contracted from other other ferrets or mink, specifically from the animal's bodily fluids (i.e., urine, blood, etc.). the virus was first recognized in mink and was later spread to the ferret species.",Causes,Aleutian Disease in Ferrets,Ferrets,39,51
"diagnosis your veterinarian will perform a complete physical exam on the ferret. he/she will take a thorough history from the owner and order a blood chemical profile, a complete blood count, an electrolyte panel, and a urinalysis. /24, your veterinarian will also want to do more specific tests, such as a counter electrophoresis to check for high antibody levels. if the ferret is not showing signs of illness because it has a persistent nonprogressive form or a nonprogressive form, it can be tested with immunofluorescent antibody testing to see if it is a source of the parvovirus. laboratory testing of samples using polymerase chain reaction can also identify the virus.",Diagnosis,Aleutian Disease in Ferrets,Ferrets,110,122
"treatment if your ferret is a carrier of the virus but it seems healthy, you could quarantine your ferret away from other pets. if you own other ferrets, you may want to have your ferrets tested and cull all the animals harboring the parvovirus.",Treatment,Aleutian Disease in Ferrets,Ferrets,44,48
"living and management this disease can take up to two to three years to become active and cause illness. the best way to prevent it is to keep your ferrets away from other ferrets and any mink. also, you may want to have your ferrets tested (especially if you had a ferret ill with aleutian disease) and cull the ferrets carrying the parvovirus.",Living and Management,Aleutian Disease in Ferrets,Ferrets,63,68
"prevention unfortunately, there is currently no vaccine for this illness. /24, ",Prevention,Aleutian Disease in Ferrets,Ferrets,11,14
"bacterial diarrhea in ferrets petmd.com /ferret/conditions/bacterial/c_ft_campylobacteriosis campylobacteriosis campylobacteriosis is a bacterial infection that results in acute and intense diarrhea and other gastrointestinal conditions in animals. young ferrets or ferrets with compromised immune systems are more prone to the bacteria. fortunately, it is a disease that can be treated with fluid therapy and antibiotics.",Bacterial Diarrhea in Ferrets Campylobacteriosis,Bacterial Diarrhea in Ferrets,Ferrets,53,61
"symptoms the primary symptom of campylobacteriosis is diarrhea, which can be either watery, bloody or streaked with mucous. the bacterial infection may also lead to other digestive complications such as the incomplete emptying of the ferret's bowel, resulting in fecal buildup and constipation. campylobacteriosis can also cause: fever inability to eat vomiting weight loss",Symptoms,Bacterial Diarrhea in Ferrets,Ferrets,54,61
"causes campylobacteriosis is due to an infection with the bacteria campylobacter jejuni , which thrives in unhygienic and poorly sanitized areas.",Causes,Bacterial Diarrhea in Ferrets,Ferrets,21,22
"diagnosis after ruling out other causes for diarrhea, such as parasitic and viral infections, your veterinarian will conduct a complete blood count and tests to examine the ferret's electrolyte, sodium and potassium levels. stool samples from the animal will then be taken to the laboratory for cultures and to confirm the bacteria's presence in the ferret.",Diagnosis,Bacterial Diarrhea in Ferrets,Ferrets,56,63
"treatment your veterinarian may recommend treatment on an outpatient basis if the ferret only has a mild case of diarrhea. this will include providing fluids for the ferret, along with an antibiotic regimen to eliminate the bacteria. however, if the ferret's diarrhea is severe, it will require fluid replacement therapy -- usually given intravenously -- and anti-diarrhea medications, in addition to any prescribed antibiotic drugs. /24, ",Treatment,Bacterial Diarrhea in Ferrets,Ferrets,66,78
living and management bringing the ferret into the veterinarian for follow-up monitoring and testing will ensure reinfections are immediately identified and treated.,Living and Management,Bacterial Diarrhea in Ferrets,Ferrets,22,24
"prevention because the bacteria which causes campylobacteriosis thrives in poorly sanitized, unhygienic living conditions, keeping your ferret's kennel clean and stool-free will help prevent the animal from contracting the disease. /24, ",Prevention,Bacterial Diarrhea in Ferrets,Ferrets,31,37
"bacterial diseases in ferrets petmd.com /ferret/conditions/digestive/c_ft_bacterial_diseases ferrets can suffer from many infectious diseases. these diseases can be due to infection with bacteria, viruses, fungi, and parasites and many of them infect other animals and humans too. two common bacterial infections in ferrets are due to the bacteria helicobactei mustelae and lawsonia intracellularis -- the former being found in nearly all weaned ferrets.",Bacterial Diseases in Ferrets,Bacterial Diseases in Ferrets,Ferrets,62,73
"symptoms and types helicobactei mustelae usually display signs of gastric ulcers and inflammation of the stomach (chronic gastritis). some chronic cases may develop into stomach cancer (gastric lymphoma). other signs of helicobactei mustelae bacterial infection are loss of appetite, vomiting, teeth clenching or grinding, diarrhea with stools stained black (by blood), increased salivation, abdominal pain, sluggishness, weight loss, and dehydration. a lawsonia intracellularis bacterial infection can occur due to stress. the signs of this infection are diarrhea, weight loss, and rectal prolapse (rectum protrudes out of the anus). at times, rectal prolapse (enlargement of mass in or around the rectum) will damage the rectum or prevent defecation. this infection can also cause the ferret to develop a bowel disease.",Symptoms and Types,Bacterial Diseases in Ferrets,Ferrets,119,142
