text,topic,blog_name,pet,word_count,chunk_size
"bacterial disease (tularemia) in prairie dogs petmd.com /exotic/conditions/infectious-parasitic/c_ex_pd_tularemia tularemia in prairie dogs though rarely encountered among prairie dogs, tularemia spreads quickly and is fatal in almost all cases. the bacteria francisella tularensis , which is transmitted to prairie dogs from infected ticks or mosquitoes, ultimately causes tularemia. and due to its ability to infect humans, prairie dogs with tularemia or those that have been exposed to infected animals should be euthanized.",Bacterial Disease (Tularemia) in Prairie Dogs Tularemia in Prairie Dogs,Bacterial Disease (Tularemia) in Prairie Dogs,Prairie Dogs,71,83
symptoms depression lethargy loss of appetite severe diarrhea dehydration rough hair coat loss of coordination,Symptoms,Bacterial Disease (Tularemia) in Prairie Dogs,Prairie Dogs,15,15
"causes tularemia is transmitted from the bites of ticks and mosquitoes infected with the francisella tularensis bacteria. diagnosis diagnosis is typically made during a post-mortem examination, in which the veterinarian notices bleeding in the lungs, an enlarged liver, spleen, and lymph nodes. however, x-rays may also reveal enlargement of the liver and spleen while the prairie dog is still alive.",Causes Diagnosis,Bacterial Disease (Tularemia) in Prairie Dogs,Prairie Dogs,60,70
"treatment unfortunately, there is no treatment for the tularemia disease in prairie dogs. moreover, due to the risk of transmitting the disease to humans, infected prairie dogs are often euthanized.",Treatment,Bacterial Disease (Tularemia) in Prairie Dogs,Prairie Dogs,30,35
"living and management though the general outcome of the prairie dogs affected with tularemia is poor, steps can be taken to make the living condition of the affected prairie dog more stress-free. clean and disinfect the cages regularly and provide fresh drinking water and food. /24, in addition, due to the highly contagious nature of tularemia, wear gloves when cleaning the cage and disposing of contaminated materials. wash your hands and arms thoroughly, and do not allow the infected prairie dog to come in contact with other animals.",Living and Management,Bacterial Disease (Tularemia) in Prairie Dogs,Prairie Dogs,88,98
"prevention to prevent tularemia infec­ tion, practice good animal husbandry and sanitize and disinfect your prairie dog’s living area regularly. in addition, minimize your pet's exposure to ticks and mosquitoes and promptly treat any evidence of tick infestation. /24, ",Prevention,Bacterial Disease (Tularemia) in Prairie Dogs,Prairie Dogs,39,47
"bacterial disease of the foot in prairie dogs petmd.com /exotic/conditions/infectious-parasite/c_ex_pd_pododermatitis pododermatitis in prairie dogs pododermatitis is a condition where a prairie dog’s foot becomes inflamed due to skin irritation. it is caused by bacterial infections, typically staphylococcus aureus , in which the bacteria enter the prairie dog’s feet through tiny cuts or scrapes. if the pododermatitis infection is not attended to properly and promptly, it may lead to serious complications.",Bacterial Disease of the Foot in Prairie Dogs Pododermatitis in Prairie Dogs,Bacterial Disease of the Foot in Prairie Dogs,Prairie Dogs,70,82
symptoms inflammation of the foot skin abrasions pus-filled sores on the foot swollen lymph nodes swollen joints,Symptoms,Bacterial Disease of the Foot in Prairie Dogs,Prairie Dogs,17,18
"causes staphylococ­ cus aureus bacteria are often the cause for the development of pododermatitis in prairie dogs, especially captive prairie dogs that have rough or wire cage floors. the bacteria in the environment can then enter the prairie dog's feet through tiny cuts or scrapes.",Causes,Bacterial Disease of the Foot in Prairie Dogs,Prairie Dogs,45,50
diagnosis your veterinarian can diagnose pododermatitis infection by examining your prairie dog and through laboratory tests. blood tests may determine the causative agent.,Diagnosis,Bacterial Disease of the Foot in Prairie Dogs,Prairie Dogs,23,25
