text,topic,blog_name,pet,word_count,chunk_size
abnormal flow of tears due to nasal duct blockage in rabbits petmd.com /rabbit/conditions/eyes/c_rb_epiphora,Abnormal Flow of Tears Due to Nasal Duct Blockage in Rabbits,Abnormal Flow of Tears Due to Nasal Duct Blockage in Rabbits,Rabbits,13,17
"epiphora in rabbits epiphora is characterized by an abnormal flow of tears from the eyes, usually occurring as a result of poor eyelid function, blockage of the nasal and eye portion of the tear ducts (nasolacrimal), or eye infection or inflammation, which may all be precipitated by by dental disease or tooth abscess. as rabbits have only one tear duct -- located very close to the tooth and gums -- the duct can be easily blocked due to oral disease (longtooth impaction is also very common in rabbits). epiphora may occur also due to longstanding respiratory disorders that block the nasal passages. congenital tooth malocclusion, and congenital eyelid deformities are usually seen in young rabbits. middle-aged rabbits, meanwhile, usually suffer from cheek tooth elongation and subsequent epiphora. and dwarf and lop breeds often show congenital tooth malocclusion, exposing them to blocked tear ducts. dwarf and himalayan breeds also often suffer from glaucoma; more rarely, glaucoma affects the rex and new zealand white breeds. symptoms and types rabbits suffering from epiphora will typically have a history of dental disease, incisor overgrowth, and upper respiratory infection. other common symptoms associated with epiphora include: lethargy depression hunched posture constant hiding or unwillingness to move inability to keep food in the mouth (i.e., constantly dropping food) loss of hair, crusts, and matted fur around the face red eyes, sometimes with thick discharge bulging eyeballs and facial masses (especially those with tooth root abscesses)",Epiphora in Rabbits Symptoms and Types,Abnormal Flow of Tears Due to Nasal Duct Blockage in Rabbits,Rabbits,239,273
"causes there are various oral and eye dysfunctions that may lead to epiphora, including: abnormal formation of nasal ducts and eye structure nose inflammation or sinusitis injury or fractures of the lacrimal or maxillary bones (the bones close to the eye orbits/tear ducts and the upper jaw, respectively) tumors in the conjunctiva, medial eyelids, nasal cavity, maxillary bone, sinuses /24, foreign bodies in the eye (e.g., hay, litter, bedding) exposure to chemicals used for home or cage cleaning conjunctivitis (inflammation of the lining of the eyeball) glaucoma (high fluid pressure on the eyeball) paralysis of the facial nerves",Causes,Abnormal Flow of Tears Due to Nasal Duct Blockage in Rabbits,Rabbits,98,116
"diagnosis your veterinarian will perform a thorough physical exam on your rabbit, taking into account the background history of symptoms and possible incidents that might have led to this condition, such as dental problems or respiratory infections. a sample of fluid and/or discharge will then be taken from the rabit's eyes and nasal passages for bacterial culture and analysis of body fluid, which will help to diagnostically differentiate from other conditions that cause discharge from the eye. for visual diagnostics, your veterinarian can use x-rays of the skull to examine your rabbit for tumors or injuries to the bones of the skull, but computed tomography (ct) imaging is better than x-rays for localizing any obstructions and to characterize any associated lesions that are present. if an obstruction appears to be present, a nasal duct flush will confirm obstruction and may also dislodge the foreign material, if present. meanwhile, a fluorescein stain, a non-invasive dye that shows details of the eye under blue light, may be used to examine the eye for abrasions or foreign objects.",Diagnosis,Abnormal Flow of Tears Due to Nasal Duct Blockage in Rabbits,Rabbits,175,196
"treatment in addition to treating the primary eye disease (conjunctivitis, ulcerative keratitis, uveitis) or obstructing lesion (nasal or sinus mass), your veterinarian may prescribe pain relievers and antibiotics.",Treatment,Abnormal Flow of Tears Due to Nasal Duct Blockage in Rabbits,Rabbits,28,34
"living and management recurrence is common in rabbits with nasolacrimal (the nasal cavity and the lacrimal/tear ducts) obstruction, but early detection, intervention, and treatment provide a better long-term prognosis. moreover, keeping the animal's face clean and dry is crucial for preventing complications. conversely, rabbits with severe dental disease (especially those with tooth root abscesses and severe bone loss) have limited chance of recovery. in some cases, the nasolacrimal duct may become completely obstructed. depending on the severity of the underlying cause, a rabbit with epiphora will require significant monetary and time investment. in some cases, epiphora may even be lifelong. /24, /24, ",Living and Management,Abnormal Flow of Tears Due to Nasal Duct Blockage in Rabbits,Rabbits,102,123
"abnormality of incisor teeth in rabbits petmd.com /rabbit/conditions/mouth/c_rb_incisor_malocclusion_overgrowth incisor malocclusion and overgrowth in rabbits a rabbit's teeth usually grow throughout its life, and a high fiber diet, with foods that warrant heavy chewing, are required for proper alignment and functioning, as the coarse foods help to keep the teeth at a manageable length. occlusion, the fitting together of the teeth of the upper and lower jaws when the mouth is closed, can be hampered by overgrowth of one or more of the teeth, a condition referred to as malocclusion (where the prefix mal- joined with -occlusion refers to the ill-fitting shape of the teeth). if elongation of the cheek teeth occurs, complete closure of the mouth cannot be achieved, and the upper incisor teeth are prevented from coming into contact with the lower incisors, leading to excessive growth of the incisors. the incisor teeth can grow as much as one mm a day if left unopposed by the opposite jaw – the meeting/occlusion of the teeth, along with a diet high in roughage, acts as a natural inhibitor of the tooth's growth.",Abnormality of Incisor Teeth in Rabbits Incisor Malocclusion and Overgrowth in Rabbits,Abnormality of Incisor Teeth in Rabbits,Rabbits,182,208
"symptoms and types readily visible teeth excessive drooling tooth grinding nasal discharge food drops out of mouth preference for softer foods preference for a water bowl over a sipper bottle decreased appetite or complete loss of appetite (anorexia) weight loss excessive tear production facial asymmetry or exophthalmos (protrusion of eyeball) pain (i.e., reluctance to move, depression, lethargy, hiding, hunched posture) unkempt hair coat due to lack of self grooming",Symptoms and Types,Abnormality of Incisor Teeth in Rabbits,Rabbits,69,79
"causes there are many factors that can lead to cheek teeth overgrowth. the most significant contributing or exacerbating factor is a diet that contains inadequate amounts of the coarse roughage material that is required for properly grinding the tooth's surface, allowing the incisors to grow into the surrounding soft tissues, damaging the tissue and even leading to secondary bacterial infections in the mouth. dwarf and lop breeds have been found to be at an increased risk for congenital malocclusion, as they are more prone to skeletal abnormalities. /24, ",Causes,Abnormality of Incisor Teeth in Rabbits,Rabbits,88,96
"diagnosis your veterinarian will perform a thorough physical exam on your rabbit, differentiating between overgrown incisors and other tumors of the mouth of skull. visual diagnostics will include skull and face x-rays, and computed tomography (ct) for better viewing of abnormalities. a fine needle aspiration (drawing and analyzing the fluid from swelling) will be taken for laboratory testing. a complete blood profile will be conducted, including a chemical blood profile, complete blood count, urinalysis, and a bacterial culture to determine the exact strain of bacteria so that the appropriate antibiotics can be prescribed.",Diagnosis,Abnormality of Incisor Teeth in Rabbits,Rabbits,93,106
