text,topic,blog_name,pet,word_count,chunk_size
"african rock python - python sebae petmd.com /reptile/species/african-rock-python petmd warning: african rock pythons are large, aggressive snakes and are not suitable as pets for most people, especially in households with children, as they can be dangerous. please do not release any pets into the wild, as they may impact the native wildlife.",African Rock Python - Python sebae,African Rock Python - Python sebae,Reptiles,52,64
"popular varieties there are two subspecies of african rock python (afrock): the central african rock python ( p. s. sebae) and the south african rock python ( p. s. natalensis). the south african rock python was recently elevated to a full species. to tell the difference between the two species, just look at the head scalation and patterning. south african rock pythons have their frontal scales broken into two to seven scales and they lack the well-defined large blotch in front of the eye that’s found on the central african rock python. also, the subocular blotch on the south african rock python is reduced to a dark streak.",Popular Varieties,African Rock Python - Python sebae,Reptiles,108,125
"african rock python size south african rock pythons grow to reach an average 9-11 feet in length for males, and 15 feet in length for females. central african rock pythons, on the other hand, are the third largest species of snake in the world and can grow to larger than 25 feet (7.5 m) in length. central african hatchlings average 2 feet (61 cm.) in length, with adults reaching a length of 11 to 18 feet or more (3.3 - 5.4 m). they are also heavy, with the average between 70-121 pounds, though the largest specimens may reach weights of 200 pounds or more.",African Rock Python Size,African Rock Python - Python sebae,Reptiles,104,123
"african rock python lifespan african rock pythons enjoy long lifespans. typical captive-bred african rock pythons can live to anywhere between 20-30 years. the oldest recorded african rock python lived at the san diego zoo and lived to be twenty-seven years and four months old. not too bad for such a big guy! /24, ",African Rock Python Lifespan,African Rock Python - Python sebae,Reptiles,53,61
"african rock python appearance african rock pythons, though attractive in their own right, are less colorful than other snakes and aren’t kept and bred by more than a few specialist breeders. they resemble the rocky outcroppings where they like to live and have dark splotches of color, usually on a dark green/olive or tan background. there are a few variations of african rock python that are specifically bred and that have patterns that can’t be found in nature; these are called morphs. listed below are the roughly three different morphs that have been created by breeder jay brewer. patternless these african rocks have muted blotches or are missing their blotches altogether. they can range in color, showing lavenders and golden backgrounds, or plain dark backgrounds. striped striped african rocks vary in that they can have many stripes of varying widths or one long stripe running the length of their spine from head to tail. striped african rock pythons can also range in colors, from dark neutral tones to lighter golden or banana tones. hypomelanistic hypomelanistic (hypo: under + melan: dark or black) means that the snake has retained some part of its black pigmentation while losing most of it. african rock pythons are morphs that have reduced dark pigments. they can range in shades from dark gold and light olive to a near white that is almost absent of color and pattern.",African Rock Python Appearance,African Rock Python - Python sebae,Reptiles,232,256
"african rock python care level african rock pythons grow very large and have the same housing requirements as other giant snakes. since rock pythons have such a long lifespan and require a permanent food source that gets larger as they do, they aren’t the right pets for everyone. african rock pythons are also similar to reticulated pythons in that they can have nasty temperaments unless they were captive-hatched and raised. for these reasons, african rock pythons are best left to advanced herpetoculturists. /24, ",African Rock Python Care Level,African Rock Python - Python sebae,Reptiles,83,92
"african rock python diet if you’re planning on housing an african rock python, secure a permanent food source before bringing your new snake home. as they grow larger, they will require prey animals of appropriate size. an “appropriately sized” prey animal should be no greater than the greatest width of the snake’s mid-body. african rock pythons’ growth rate is directly rated to their feeding regimen. most herpetoculturists recommend tapering your snake’s feeding regimen after it reaches sexual maturity (usually around three years) to prevent obesity. hatchling african rocks can be fed baby mice a few times before moving on to adult mice. after the african rock has eaten adult mice a couple of times, you can move on to a feeding regimen. this is a sample feeding regimen you can use for central and southern african rock pythons: from hatchling to 4 feet in length, feed 1 to 2 appropriately sized mice every 3 to 4 days. at 4 feet you can switch to medium rats before eventually graduating to large rats. from 4 feet to sexual maturity, feed your afrock 1 to 2 prey animals every 5 to 10 days or so. during this time, when your snake reaches 6 to 7 feet in length, you may need to switch from rats to rabbits, increasing the rabbits’ size as the snake grows. after sexual maturity, feed one to two rabbits every week to two weeks, depending on the snake’s appetite and overall appearance.",African Rock Python Diet,African Rock Python - Python sebae,Reptiles,244,276
"african rock python health common health issues in african rock pythons when it comes to owning a healthy afrock, it all begins with the selection. always buy a pet snake from a reputable breeder; never get one in the wild. the following is a short summary of african rock python diseases and disorders. infectious diseases and parasites wild-caught snakes are prone to a bevvy of health problems, including internal and external parasites. however, external parasites like ticks and mites can still afflict captive-bred snakes, especially if a new snake has been introduced, so keep any eye out for little white, red, or black spots that move. if you suspect a parasite problem, take your pet to a herp vet. /24, respiratory infections respiratory issues like reptile pneumonia are also a problem that can happen, but in most cases if you catch the cold early enough you can easily fix it. a snake suffering from a respiratory disease could hold its head upright to breathe, and in some cases will wheeze. if this is the case, take your snake to a vet and make sure that there is a proper heat gradient in its enclosure. in more advanced stages of the respiratory disease, snakes may ooze a cheesy foamy substance from their mouths or vents. inclusion body disease in african rock pythons (ibd) ibd is an extremely serious snake disease that is carried by boid snakes (pythons and boas). ibd is a retrovirus, much like aids in humans. affected pythons can die within a few days of exposure or linger on for months or years. exposure is usually caused when infected snakes share enclosures with non- infected snakes, either during cohabitation or breeding. always house your african rock pythons separately and never place them in the same enclosure as a boa.",African Rock Python Health,African Rock Python - Python sebae,Reptiles,300,336
"african rock python behavior african rock pythons, while intelligent creatures, have quite a reputation for being nasty. however, it has been shown that captive-bred african rock pythons can be tamed with regular handling. when african rock pythons feel threatened they can lash out and bite, or spray a nasty-smelling substance from their tails.",African Rock Python Behavior,African Rock Python - Python sebae,Reptiles,53,62
"supplies for housing african rock pythons the care requirements for african rock pythons are quite similar to the requirements of reticulated pythons of the same size. they need an enclosure that’s large enough for growth, a heat gradient that allows the snake to selfregulate (regulate its own temperature), and some interesting places to hide out. aquarium tank or terrarium setup first things first: you’ll need to ensure your snake enclosure has a sturdy locking mechanism and adequate ventilation. a good rule of thumb as far as size of the enclosure goes is that it needs to be large enough for a snake to wrap around it one and a half times comfortably. next, you’ll need to choose a substrate (that’s what we call reptile bedding) and decorations for your snake that are easy to clean and replace. you can use anything from specially made reptile carpet to newspaper for substrate. just don’t use cedar /24, or pine shavings! the oil in these trees can irritate a snake’s skin and cause respiratory illnesses. mulch substrate is a great middle ground since it’s easy to spot clean and looks natural. as for decorations, you can go as simple or as fancy as you please. just remember that you’ll need to clean whatever you put in the enclosure, so a simple hiding log may be better than a fancy piece with lots of nooks and crannies to muck up. heat and light snakes need a range of heat—a heat gradient—in order to properly manage their own temperatures. it’s called thermoregulation and it’s extremely important. your african rock python’s habitat needs to have a temperature range that spans between 86 degrees fahrenheit and 92 degrees fahrenheit. the air should have a daytime temperature gradient between 86 and 88 degrees fahrenheit, dropping to 80 degrees at night. there should also be a hot spot in the enclosure that’s a constant 88-92 degrees fahrenheit. this can be achieved with an under-tank heater, space heaters in the room where your enclosure is, or overhead lights. take care that no heating element is placed directly in the enclosure, like light bulbs that don’t have protective wiring. do not use heat rocks for your snake’s hot spot because snakes like to wrap around them and will burn their skin. when it comes to heating a giant snake enclosure, these are the industry standard options. pig blankets these are giant heating pads enclosed in rigid plastic; they emit high surface heat over a broad area and are controlled by thermostats. pig blankets can only be special ordered through reptile specialty or feed stores. they are without a doubt the best commercially produced heating units for large reptiles. heat pads and tapes these are the easiest way to heat snake enclosures; just make sure you’ve got them connected to thermostats to ensure a proper gradient. ceramic heaters these can be used as overhead heat sources, but they require the correct wattage bulb and sturdy ceramic bases that can handle the wattage. plastic sockets sometimes have cardboard liners that will begin to burn after just a few hours. always use thermostats or rheostats for regulation with these types of heaters. /24, ",Supplies for Housing African Rock Pythons,African Rock Python - Python sebae,Reptiles,529,593
