text,topic,blog_name,pet,word_count,chunk_size
contagious bacterial disease due to salmonella in gerbils petmd.com /exotic/conditions/digestive/c_ex_gb_salmonellosis,Contagious Bacterial Disease Due to Salmonella in Gerbils,Gerbils_Contagious Bacterial Disease Due to Salmonella in Gerbils,Gerbils,10,14
"salmonellosis in gerbils salmonellosis is a contagious disease caused by infection with the salmonella bacterium. it is quite rare in pet gerbils and is usually spreads due to the ingestion of food or water that has been contaminated with the infected feces or urine of wild rodents. infected bedding material can also act as a potential source for transmission of salmonellosis disease in gerbils. an infected gerbil that is being treated for salmonellosis may still continue to infect other animals even thought it does not appear to be sick. it is important to note that this disease has known zoonotic potential, and an infected gerbil can act as a source for the spread of salmonellosis to humans as well. hence, salmonellosis needs to be managed with caution. treatment is generally not effective for the control of salmonellosis. taking steps to prevent the spread of this bacterial infection is the best way to manage salmonellosis in gerbils. finally, infected gerbils can act as potential sources for the spread of salmonellosis infection to each other, and to humans as well, making this a disease with zoonotic potential. hence this condition should be managed with caution, with disposable medical grade gloves used for cleaning and handling all things gerbil related (including the gerbil itself), sanitizing or disposing of all gerbil equipment and bedding, and care taken when going from the gerbil to other gerbils, people, or even to other animals. symptoms and types salmonellosis is often fatal for gerbils. the symptoms which may be observed prior to it becoming severe include: depression dehydration rough hair coat distended abdomen diarrhea and resulting weight loss miscarriage (in pregnant gerbils)",Salmonellosis in Gerbils Symptoms and Types,Gerbils_Contagious Bacterial Disease Due to Salmonella in Gerbils,Gerbils,274,298
"causes ultimately it is the salmonella bacteria that causes this condition. it is typically transmitted through the ingestion of food or water that has been contaminated by the feces of infected animals or insects. however, bedding and other materials in the gerbil's cage may also be contaminated by infected insects or wild rodents.",Causes,Gerbils_Contagious Bacterial Disease Due to Salmonella in Gerbils,Gerbils,53,58
"diagnosis you will need to provide a thorough history of your gerbil's health leading up to the onset of symptoms. observing the clinical symptoms exhibited by the infected gerbil will help your veterinarian to make a tentative diagnosis, but laboratory work will be necessary for making a confirmed diagnosis. a complete blood profile will be conducted, including a chemical blood profile and a urinalysis. collecting fecal samples for culturing will also be necessary for identifying the bacterial species that is responsible for the bacterial infection. only then will your veterinarian be able to conclusively identify the salmonella bacterium as the underlying cause for your gerbil's condition.",Diagnosis,Gerbils_Contagious Bacterial Disease Due to Salmonella in Gerbils,Gerbils,106,115
"treatment unfortunately, treatment is not an effective option for salmonellosis. broad-spectrum antibiotic drugs may be used in some cases, but mainly, supportive therapy with fluids and electrolyte supplements are the only medicines administered to gerbils suffering from mild cases of salmonellosis.",Treatment,Gerbils_Contagious Bacterial Disease Due to Salmonella in Gerbils,Gerbils,41,47
"living and management segregate any gerbil that has been affected with salmonellosis from other animals. take special care in disinfecting and discarding cage and bedding materials, and in preventing incidental spreading of the bacteria by wearing medical grade disposable gloves. food dishes and any other climbing or exercise equipment will also need to be thoroughly cleaned, and toys will need to be discarded if they cannot be properly sanitized . while recovering from the infection, your pet gerbil will be very weak and require an isolated area to rest. to assist in the recovery, consult with your veterinarian as to the best diet during this period.",Living and Management,Gerbils_Contagious Bacterial Disease Due to Salmonella in Gerbils,Gerbils,106,114
"prevention salmonellosis infection is highly contagious and is mainly transmitted through the ingestion of food and water that has been contaminated with infected feces and/or urine. therefore, properly cleaning the cages regularly and removing any feces and urine, along with changing soiled bedding material routinely, are essential. as much as possible, try to avoid housing gerbils of different age groups together, and keep your gerbils in a place where wild rodents cannot gain access to your pet’s cage. following these simple steps will go a long way toward preventing the spread of salmonellosis infection in your gerbils. ",Prevention,Gerbils_Contagious Bacterial Disease Due to Salmonella in Gerbils,Gerbils,97,108
"fractures in gerbils petmd.com /exotic/conditions/musculoskeletal/c_ex_gb_fractures what are fractures in gerbils? fractures of the legs are very common in gerbils. they usually occur as a result from injuries sustained on exercise wheels or cages with the wrong size mesh or from mishandling or falls. fractures encompass partial or complete breaks in a bone. fractures of the tail also commonly happen when the tail is used to lift the pet. gerbils are very social animals who can be trained to be held, but this should be done on the floor or over a soft surface. it’s important to remember to never pick your gerbil up by their tail . damage to any bone can happen when gerbils are dropped on a hard surface. the most common fractures in gerbils involve the tail, the toes, and the legs.",Fractures in Gerbils What Are Fractures in Gerbils?,Gerbils_Fractures in Gerbils,Gerbils,135,151
symptoms of signs of fracture in gerbils include: not using the limb or tail dragging the limb or tail swelling in any part of the body visible bending or bone from a limb hiding lack of appetite unwillingness to move from a nest,Symptoms of Fractures in Gerbils,Gerbils_Fractures in Gerbils,Gerbils,43,44
"what to do if your gerbil breaks a bone move your gerbil to a safe location and contact your veterinarian or small animal trained emergency vet. due to their small size, the best treatment for an injured gerbil is enclosure in a small travel cage with no mesh or toys to get tangled in, clean bedding, and a hide box.",What To Do If Your Gerbil Breaks a Bone,Gerbils_Fractures in Gerbils,Gerbils,60,65
"how veterinarians treat treatment options for gerbils are limited due to their size. whenever possible (partial fractures, minimal movement of the bone fragments), treatment will involve pain medication and bandaging. for more complicated fractures, sedation/anesthesia, x-rays, and/or surgery for fixation or amputation may be recommended. pain medication and antibiotics will be sent home on a case-by-case basis. your veterinarian will recommend an elizabethan collar or recovery cone to prevent the gerbil from chewing at the painful areas as they heal. costs for these treatments will vary based on where you live and the skill level of your veterinarian.",How Veterinarians Treat Fractures in Gerbils,Gerbils_Fractures in Gerbils,Gerbils,98,115
"recovery and management of bone healing varies from four to 12 weeks, depending on the severity of the fracture, the ability of your veterinarian to stabilize the bone fragments, and the activity level of your gerbil. medication should be given as directed, and your gerbil’s appetite should be monitored carefully. while healing, gerbils should be housed in a plain low container with fresh bedding, no mesh, wheels, or toys to get tangled in, and kept as clean as possible to discourage infection. e. collars should be kept in place until veterinary approval is given for removal. handling should be limited to gentle petting—no lifting or carrying until fully healed. all handling of gerbils by children should be supervised, and only solid-bottom exercise wheels should be used in the cage. if you have bonded gerbils, they can be allowed supervised time together, as long as no one is chewing on bandages. if possible, keep the cages next to one another, to help lower anxiety in all animals. your veterinarian will discuss diet and environment as part of the recovery process and may recommend supplements such as calcium to aid in healing.",Recovery and Management of Fractures in Gerbils,Gerbils_Fractures in Gerbils,Gerbils,190,217
"fractures in gerbil faqs can a gerbil survive a broken leg? yes, gerbils can survive a broken leg. however, in some cases the leg must be amputated for your gerbil to return to health. what to do if your gerbil is limping? if you notice your gerbil limping, please schedule an appointment with a veterinarian versed in working with small mammal patients. can a gerbil live with a broken leg? while an animal can live with a broken leg, there is a high risk of infection. as gerbils are prey animals, they are very susceptible to pain and can die by starvation if left untreated. how long can a broken bone go untreated in gerbils? the longer a fracture goes untreated, the more likely the limb will need to be amputated or the gerbil will get an infection and die. preferably, your gerbil should be seen by a veterinarian in less than 24 hours.",Fractures in Gerbil FAQs Can a gerbil survive a broken leg? What to do if your gerbil is limping? Can a gerbil live with a broken leg? How long can a broken bone go untreated in gerbils?,Gerbils_Fractures in Gerbils,Gerbils,154,172
"gerbil care sheet | petmd petmd.com /exotic/gerbil-care-sheet gerbil overview native to the deserts of africa, central asia, and the indian subcontinent, gerbils are small rodents with big personalities! while there are 87 known species of gerbils, the mongolian gerbil (also called the desert rat) is the species most often kept as pets. the mongolian gerbil’s scientific name, meriones unguiculatus , translates to “little clawed warrior.” despite their fearsome name, in reality most gerbils are quite docile and outgoing when properly socialized. as social animals, gerbils are highly communicative and use a range of non-verbal signals to let others know how they’re feeling. gerbils have been known to: wink at their pet parent to show pleasure, happiness, or gratitude purr when they’re comfortable and content thump their hind legs to signal fear or sexual arousal greet other gerbils by touching their noses to each other over time, gerbils learn to trust their owner and learn to enjoy daily handling. when holding a gerbil, gently cup the animal in your hands. if the gerbil needs to be restrained from running away, it should be held gently by the scruff of the neck. gerbils should be handled over a soft surface to prevent them from injuring themselves if they jump or fall. never grab a gerbil by its tail —they're delicate and can break or tear easily. children of all ages should be supervised by an adult while handling a gerbil. all small animals are potential carriers of infectious diseases that can infect humans, such as rat bite fever and the salmonella bacteria. pet parents should always wash their hands before and after handling their gerbil or its habitat’s contents.",Gerbil Care Sheet | PetMD Gerbil Overview,Gerbils_Gerbil Care Sheet  PetMD,Gerbils,277,316
"gerbil characteristics difficulty of care beginner average lifespan up to 5 years with proper care average adult size 4 inches long, not including tail diet omnivorous minimum habitat size 18” l x 30” w x 12” h",Gerbil Characteristics,Gerbils_Gerbil Care Sheet  PetMD,Gerbils,37,41
"gerbil supply checklist to keep a gerbil happy and healthy, pet parents should have these basic supplies on hand: an appropriately-sized habitat high-quality pelleted gerbil food treats bedding nesting fluff food bowl/water bottle exercise wheel hideaway place toys wood chews dust and dust bath chew tubes",Gerbil Supply Checklist,Gerbils_Gerbil Care Sheet  PetMD,Gerbils,46,51
gerbil habitat,Gerbil Habitat,Gerbils_Gerbil Care Sheet  PetMD,Gerbils,2,2
