text,topic,blog_name,pet,word_count,chunk_size
"abtenauer | petmd petmd.com /horse/breeds/c_hr_abtenauer the abtenauer is a horse breed of german extraction. an easy trotter, it is particularly graceful and fluid in its movements. although of average size, the abtenauer is actually a draft horse and accustomed to pulling heavy loads on mountainous terrain. unfortunately, the abtenauer has become a rare breed.",Abtenauer | PetMD,Horses_Breeds_Abtenauer,Horses,54,64
"physical characteristics standing at about 14.2 to 15.1 hands high (57-60 inches, 144-155 centimeters), the abtenauer is rather small and stocky breed with a well-defined head. it has powerful, muscular legs and great balance. it is also agile, strong, and sure-footed. these characteristics make it especially suitable for navigating mountainous, rugged terrain. curiously, the abtenauer has curly hair when it is born, but this is shed along with its baby hair in the first year. it is found in various colors, including rich brown and chestnut, but there are also a lot of blue roans and blacks. spotted abtenauers, meanwhile, are very rare and are generally considered unattractive in the breed.",Physical Characteristics,Horses_Breeds_Abtenauer,Horses,111,137
"personality and temperament the abtenauer is docile, hardworking, obedient, and undemanding, all of which make it an ideal small draft horse. due to its thick coat, low center of gravity, and powerful legs, it is perfect for hauling loads up in the mountains.",Personality and Temperament,Horses_Breeds_Abtenauer,Horses,43,52
"history and background the abtenauer is a german-blooded horse, but it was bred and raised near salzburg, austria; more specifically, the abtenau valley from which it got its name. according to records, around 100 abtenauer mares were bred in this valley and used for hauling heavy loads up the mountains. the abtenauer is also said to be related to the noriker horse breed—another known breed in austria, the roots of which can be traced back to greece—although the abtenauer is lighter in build. the abtenauer is considered to be the smallest variant of draft horses.",History and Background,Horses_Breeds_Abtenauer,Horses,95,108
"care and health the abtenauer, used in rugged terrain and cold weather, is a hardy horse that does not require special care. in fact, abtenauer mares and foals are always sent to the mountains during the summer to pasture in austria. the all-white meadows serve as their roaming field during this time. once a week, they are fed salt to provide a small amount of human interaction and prevent them from running completely wild. however, hardy as it is, efforts must be made to save the abtenauer breed from extinction. otherwise, this hardy and extremely useful draft horse may become just another page in the history of horses.",Care and Health,Horses_Breeds_Abtenauer,Horses,108,122
"adaev | petmd petmd.com /horse/breeds/c_hr_adaev the adaev, short for aedaevskaya, is a common horse breed best suited riding and labor on small farms. the modern adaev, however, has found its niche in milk production.",Adaev | PetMD,Horses_Breeds_Adaev,Horses,34,43
"physical characteristics standing at approximately 13 to 14.1 hands high (52-56 inches, 133-142 centimeters), the adaev typically comes in various colors, including palomino, chestnut, bay, and gray. as a result of crossbreeding, the modern adaev has a well-defined form and withers. its trunk is deep and its joints and tendons are clearly defined. the horse's head, meanwhile, is well-proportioned and its back and neck are long and straight. additionally, because the adaev's skin is thin, its veins are visible on the surface.",Physical Characteristics,Horses_Breeds_Adaev,Horses,82,106
"personality and temperament differentiated by their bone structure and form, the adaev breed is classified into three types: light, medium, and massive. the light and medium adaev types are hardy horses, typically used for riding because of their nobler appearance than the massive type. generally, these adaev horses are mixed with the akhal-teke breed. the massive adaev, however, is still the most valued type because it has the best-balanced structure and proportional build. they are also known for their endurance and agility, as well as their ability to adapt to new and harsh environmental conditions.",Personality and Temperament,Horses_Breeds_Adaev,Horses,95,111
"history and background the adaev, a horse originally from the steppes of kazakhstan, is part of the larger kazakh horse group, which can be traced back to 5,000 b.c. the adaev was found to be a good specimen for out-crossing, so it was used extensively to improve the jabe stock, another common kazakh breed. unfortunately, this led to the near decimation of the pure adaev breed. in 1985, breeders gathered 27,000 adaev horses to restore the breed's numbers. once the stock recovered sufficiently, their focus turned toward improving the breed, specifically its height and physical form, to enhance its hardiness. various methods were used to achieve this, including crossbreeding with other breeds: the orlov trotter, don, and even the thoroughbred. naturally, the breeders involved in this endeavor kept scrupulous records of each individual horse’s pedigree. they also experimented extensively to find additional sources of food for the adaev. no longer rare, the modern adaev horse is used for riding as well as for milk production of up to 11-14 liters per day.",History and Background,Horses_Breeds_Adaev,Horses,172,204
"care and health the traditional method for raising adaevs is the taboon, where horses are herded (typically in groups of 200) in a large, unfenced, year-round pasture. no supplemental feed is given to the horses, either—they are instead encouraged to fend for themselves and eat their fill of the available food source. horsemen, however, need to constantly supervise the herd. the adaev have been noted to be slightly more prone to hoof and limb problems than their close relatives, the kazakh. it is important not to overfeed these hardy horses and keep them in a proper body condition, to prevent issues such as laminitis and metabolic diseases such as cushing’s.",Care and Health,Horses_Breeds_Adaev,Horses,110,127
